OBJECTID,type,subtype,x,y,TAZ
364,6, Private Schools,46.6175071,24.6832438,46
365,3, Shopping and Services,46.6436848,24.599153,1114
366,6, Training Centers,46.735527,24.7584991,758
367,6, Clinics,46.7684846,24.7276141,136
368,6, Medical Centers,46.6784364,24.6772208,870
369,6, Medical Centers,46.6784364,24.6772208,870
370,5, Mosques,46.7129509,24.668428,224
371,5, Mosques,46.7428095,24.6704045,241
372,5, Mosques,46.7425201,24.6595409,1209
373,5, Mosques,46.7579019,24.6945578,255
374,6, Training Centers,46.5958611,24.5829059,1377
375,6, Clinics,46.7447068,24.6724028,241
376,5, Mosques,46.744059,24.6204661,302
377,5, Mosques,46.730711,24.6083075,1310
378,6, Clinics,46.672922,24.7215817,802
379,6, Training Centers,46.6820158,24.6944988,844
380,6, Training Centers,46.8175026,24.7545093,146
381,6, Training Centers,46.6915389,24.7262236,810
382,6, Training Centers,46.7310504,24.6857418,1148
383,5, Mosques,46.6958081,24.787525,601
384,5, Mosques,46.691586,24.7861113,55
385,5, Mosques,46.7094072,24.7963678,603
386,5, Mosques,46.7033058,24.7897604,56
387,6, Hospitals,46.780835,24.7005489,354
388,6, Medical Centers,46.7130424,24.6059001,1304
389,5, Mosques,46.6538997,24.576133,474
390,3, Shopping and Services,46.7164932,24.633407,278
391,3, Shopping and Services,46.7179641,24.636748,1261
392,3, Shopping and Services,46.6477341,24.6896618,27
393,5, Mosques,46.7229516,24.6219923,1349
394,5, Mosques,46.7019337,24.5322598,386
395,5, Mosques,46.6945856,24.5274874,499
396,5, Mosques,46.7519195,24.6787484,260
397,3, Shopping and Services,46.7023182,24.6457689,198
398,3, Shopping and Services,46.7170149,24.6446483,1231
399,3, Shopping and Services,46.7175866,24.6435292,1231
400,3, Shopping and Services,46.7459072,24.6221637,302
401,5, Mosques,46.7130458,24.5864253,1361
402,5, Mosques,46.627624,24.774516,572
403,5, Mosques,46.6432176,24.7922739,438
404,3, Shopping and Services,46.6877216,24.6660469,1026
405,1, Hotels and Furnished Apartments,46.7249059,24.6901513,233
406,5, Mosques,46.6625388,24.7000391,31
407,5, Mosques,46.6758872,24.6908667,841
408,5, Mosques,46.6815594,24.67866,870
409,5, Mosques,46.6260865,24.7813135,569
410,5, Mosques,46.6331764,24.7803166,570
411,5, Mosques,46.6386825,24.7988733,568
412,5, Mosques,46.6432803,24.7831868,581
413,5, Mosques,46.648165,24.7859064,583
414,5, Mosques,46.6933554,24.7948774,600
415,5, Mosques,46.699992,24.7928836,601
416,5, Mosques,46.6983333,24.7898787,601
417,1, Hotels and Furnished Apartments,46.7179733,24.6890842,1046
418,6, Training Centers,46.740135,24.6127484,1461
419,6, Training Centers,46.6516077,24.6895177,29
420,5, Mosques,46.5521676,24.5798056,1371
421,6, Medical Centers,46.7196555,24.6605338,238
422,6, Clinics,46.7795074,24.7113514,914
423,6, Training Centers,46.7240834,24.6673996,1138
424,2, Restaurants,46.699953,24.7057406,856
425,6, Hospitals,46.6889775,24.6713723,43
426,6, Medical Centers,46.6784364,24.6772208,870
427,6, Medical Centers,46.6784364,24.6772208,870
428,6, Medical Centers,46.6784364,24.6772208,870
429,6, Medical Centers,46.6519838,24.7545914,670
430,6, Training Centers,46.7313284,24.6658563,239
431,5, Mosques,46.7029904,24.5409562,386
432,5, Mosques,46.7096206,24.6327635,1242
433,3, Shopping and Services,46.7258606,24.6868518,1144
434,3, Shopping and Services,46.7090509,24.6300483,281
435,6, Training Centers,46.7313282,24.6658559,239
436,6, Training Centers,46.7292981,24.6711994,1155
437,4, Entertainment,46.6745185,24.5718618,167
438,6, Training Centers,46.7023341,24.6952089,103
439,6, Training Centers,46.6928471,24.6781696,1035
440,5, Mosques,46.612836,24.5895177,1391
441,3, Shopping and Services,46.7084784,24.6155451,1289
442,3, Shopping and Services,46.744048,24.5981791,1308
443,6, Medical Centers,46.6659282,24.5857548,165
444,6, Hospitals,46.7259066,24.6789127,1129
445,6, Clinics,46.7804949,24.7387657,138
446,6, Clinics,46.66653,24.7017662,31
447,6, Government Schools,46.9000896,24.7938559,368
448,6, Private Schools,46.802293,24.6972975,942
449,6, Private Schools,46.8070092,24.6916838,930
450,2, Restaurants,46.6709029,24.76657,713
451,2, Restaurants,46.6350644,24.7140474,425
452,3, Shopping and Services,46.6800271,24.7485323,754
453,3, Shopping and Services,46.663743,24.7579436,61
454,5, Mosques,46.6856864,24.7189165,76
455,5, Mosques,46.6160793,24.6053051,1458
456,5, Mosques,46.7332818,24.5997812,1307
457,6, Clinics,46.7612529,24.5626836,1329
458,6, Medical Centers,46.6916539,24.7050347,849
459,5, Mosques,46.7547473,24.6646804,265
460,5, Mosques,46.6130154,24.6007396,157
461,3, Shopping and Services,46.7164932,24.633407,278
462,6, Medical Centers,46.6746018,24.6569695,1031
463,2, Restaurants,46.669069,24.7105046,826
464,3, Shopping and Services,46.6970263,24.7415173,805
465,2, Restaurants,46.6576473,24.7237282,784
466,6, Clinics,46.6348897,24.6122866,1074
467,5, Mosques,46.7102195,24.5419781,386
468,5, Mosques,46.8346886,24.3966866,406
469,5, Mosques,46.6988362,24.6950923,104
470,6, Clinics,46.6576472,24.723729,784
471,6, Clinics,46.6918812,24.7060657,849
472,6, Clinics,46.7159822,24.55472,387
