OBJECTID,type,subtype,x,y
132,6,606,46.5976637,24.5892375
133,6,606,46.6031047,24.5911156
134,6,606,46.6024578,24.588166
135,6,606,46.6396685,24.6146715
136,6,606,46.6432446,24.6140905
137,6,606,46.6276346,24.5966044
138,3,313,46.6834687,24.7385568
139,3,303,46.7062654,24.7656993
140,3,303,46.7062654,24.7656993
141,2,213,46.7710755,24.7203735
142,2,212,46.6783578,24.6765157
143,1,108,46.7192684,24.6573314
144,3,304,46.7273634,24.7544495
145,3,304,46.7619847,24.7477286
146,3,304,46.7683475,24.7516453
147,3,304,46.807647,24.7199259
148,0,0,46.8993628,24.7994638
149,3,304,46.7847302,24.7049239
150,5,513,46.799856,24.5946935
151,5,513,46.7944937,24.5993647
152,5,513,46.7986691,24.5980531
153,2,215,46.6842681,24.597004
154,6,606,46.7687247,24.7259515
155,6,606,46.7777548,24.710036
156,6,606,46.7112528,24.5575085
157,6,606,46.5495218,24.5863022
158,6,606,46.5604773,24.588288
159,6,606,46.6881846,24.5858983
160,3,304,46.7526322,24.7419849
161,3,304,46.6904849,24.7259027
162,5,513,46.8047158,24.6399746
163,5,513,46.8041881,24.6005207
164,5,513,46.8041926,24.6362021
165,3,304,46.6911551,24.7246287
166,3,304,46.6911551,24.7246287
167,1,110,46.719329,24.6395053
168,1,110,46.7194711,24.6432376
169,6,606,46.8834205,24.8136114
170,6,606,46.8902794,24.8126281
171,6,606,46.8117399,24.7092233
172,6,606,46.8287393,24.743004
173,6,606,46.833006,24.7417602
174,6,606,46.8319516,24.7509906
175,6,606,46.8330902,24.7508196
176,6,606,46.8316843,24.7502293
177,6,606,46.8363595,24.7463252
178,6,606,46.8333242,24.7451065
179,6,606,46.8356819,24.7449861
180,6,606,46.8353267,24.7427717
181,6,606,46.8359078,24.7340208
182,6,606,46.851788,24.7223951
183,6,606,46.8905833,24.8243916
184,6,606,46.6865703,24.6048726
185,6,606,46.6892655,24.6059091
186,6,602,46.69099,24.7062699
